#userId,itemId
1,30
1,38
1,1
1,39
1,33
1,41
1,5
1,12
1,46
2,30
2,19
2,17
2,30
2,48
2,2
3,48
3,15
3,13
3,43
3,19
3,1
3,13
3,26
4,40
4,14
4,1
4,7
5,22
5,28
5,19
6,30
6,38
6,6
6,49
6,15
6,15
6,4
7,5
7,35
7,9
7,38
7,44
8,27
8,41
9,9
9,9
9,25
9,6
10,7
10,6
10,23
10,26
10,21
10,31
11,14
11,1
11,29
11,44
11,13
11,13
11,12
11,1
12,42
12,27
12,20
12,5
12,13
12,14
13,27
13,36
13,42
13,43
13,35
14,3
14,45
14,17
14,6
15,23
15,24
15,11
15,48
15,7
16,19
17,14
17,8
17,14
17,9
17,9
17,28
17,46
17,39
17,23
18,8
19,23
20,31
20,10
20,29
20,42
20,12
21,30
21,26
21,5
21,2
21,3
21,7
21,5
21,11
22,39
22,15
23,5
23,1
23,43
24,17
24,44
25,23
25,34
25,38
25,9
26,14
26,29
26,10
27,26
27,44
27,2
27,8
27,37
27,33
27,38
27,14
27,10
28,5
28,27
28,42
28,49
29,26
29,8
29,22
29,11
29,13
29,6
29,38
29,9
30,44
30,40
30,27
30,32
30,44
30,15
30,8
30,23
31,46
31,30
31,43
32,24
32,39
32,18
32,40
32,14
32,17
32,40
32,17
33,1
33,21
34,37
34,45
34,30
35,31
35,9
35,15
36,40
36,4
36,7
36,23
36,42
36,29
36,4
36,6
36,21
37,23
37,2
37,26
37,34
37,26
37,7
37,35
37,44
38,44
39,26
39,31
39,23
39,17
39,39
39,2
40,43
41,33
41,1
41,4
41,2
41,41
42,21
42,36
42,39
42,23
42,5
42,27
42,38
43,41
43,47
43,36
43,23
43,36
43,19
43,18
43,25
43,27
44,6
44,20
44,36
44,35
44,7
44,18
44,39
44,14
44,12
45,43
45,43
45,43
46,10
46,33
46,10
46,48
47,14
47,10
47,46
47,24
48,11
48,49
48,19
48,39
48,21
48,20
48,33
49,40
49,4
49,47
50,27
50,28
50,22
51,10
51,24
51,38
51,18
51,19
51,21
51,5
52,22
52,4
52,16
52,17
52,47
52,33
53,46
53,47
54,49
54,15
54,9
54,18
54,22
54,44
55,11
55,38
55,9
55,28
55,8
55,22
55,23
56,26
56,46
57,18
57,29
57,18
57,25
57,15
57,12
57,6
57,27
57,31
58,37
58,34
58,10
58,25
58,49
59,8
59,27
59,20
59,3
59,32
59,28
59,6
59,12
60,35
60,15
61,24
61,27
61,25
62,23
62,25
62,33
62,41
63,12
63,30
63,9
63,28
63,6
63,6
63,43
63,32
64,41
64,37
64,20
64,30
65,21
65,15
65,3
65,43
65,6
65,6
65,34
65,34
65,38
66,36
66,15
66,45
66,36
66,40
66,10
66,24
67,18
67,2
67,35
67,33
67,33
67,29
67,41
67,38
67,48
68,31
68,23
68,48
69,21
69,41
69,26
69,42
69,48
69,20
69,4
69,20
70,47
71,22
71,11
71,28
71,9
71,25
71,39
71,28
72,6
72,38
72,34
72,28
72,30
72,31
72,25
73,45
73,47
73,13
73,36
73,27
73,47
74,46
74,5
74,28
75,48
75,16
75,16
75,2
75,15
75,13
75,3
75,13
76,45
76,11
76,47
76,35
76,26
76,25
76,18
76,1
77,14
78,43
78,39
78,48
78,36
78,45
78,14
79,24
79,40
79,44
79,8
79,37
79,22
80,13
80,10
80,41
80,35
80,13
81,41
81,20
81,3
81,38
81,17
81,13
81,38
81,2
81,3
82,28
82,27
82,45
82,28
82,19
83,47
83,18
83,6
83,44
83,17
84,29
84,1
84,37
84,7
84,8
84,36
84,25
85,1
85,18
85,4
85,24
85,18
85,34
86,37
86,22
86,18
86,37
86,38
86,44
86,34
86,46
87,8
88,13
89,20
89,35
89,9
89,7
89,7
89,2
89,18
89,42
89,26
90,12
90,10
91,18
91,10
91,29
91,14
91,39
92,24
92,48
92,43
92,9
92,40
92,5
93,3
93,33
93,40
93,12
94,15
94,10
94,24
94,8
94,2
95,8
95,26
95,4
95,10
95,28
95,43
95,11
96,16
96,16
96,33
96,8
96,7
96,29
96,41
97,44
97,14
97,7
97,21
98,45
98,19
98,13
99,1
100,43
100,41
100,20
100,3

